"dist","method","MAR","MNAR"
"Lognormal","FIML","3.49 (1.78)","3.46 (1.50)"
"Lognormal","MICE","5.52 (3.09)","4.07 (1.79)"
"Lognormal","Smriti_Default","6.91 (2.49)","4.36 (1.73)"
"Lognormal","Smriti_Robust","6.31 (2.93)","4.70 (1.98)"
"Lognormal","missForest","5.65 (3.54)","4.08 (2.41)"
"Lognormal","missRanger","6.39 (3.36)","5.04 (2.34)"
"Normal","FIML","1.33 (1.37)","3.47 (1.46)"
"Normal","MICE","4.53 (2.90)","4.06 (1.75)"
"Normal","Smriti_Default","6.27 (2.35)","4.43 (1.67)"
"Normal","Smriti_Robust","5.46 (2.47)","4.53 (1.90)"
"Normal","missForest","4.76 (3.34)","5.39 (2.38)"
"Normal","missRanger","5.61 (3.33)","5.54 (2.39)"
"Outlier","FIML","3.31 (1.22)","3.56 (1.20)"
"Outlier","MICE","4.69 (2.45)","4.01 (1.46)"
"Outlier","Smriti_Default","5.74 (2.14)","4.01 (1.40)"
"Outlier","Smriti_Robust","5.43 (2.28)","4.57 (1.69)"
"Outlier","missForest","5.23 (2.93)","4.75 (2.18)"
"Outlier","missRanger","5.79 (3.10)","5.21 (2.26)"
"t5","FIML","1.48 (1.52)","3.48 (1.44)"
"t5","MICE","4.47 (2.97)","4.04 (1.73)"
"t5","Smriti_Default","6.23 (2.40)","4.43 (1.67)"
"t5","Smriti_Robust","5.43 (2.57)","4.58 (1.91)"
"t5","missForest","4.75 (3.35)","5.20 (2.33)"
"t5","missRanger","5.54 (3.36)","5.42 (2.34)"
