"dist","method","N=100","N=200","N=500","N=1000","N=5000","N=10000"
"Lognormal","FIML","3.92","3.59","3.32","3.36","3.38","3.38"
"Lognormal","MICE","6.21","5.84","5.44","5.34","5.15","5.15"
"Lognormal","Smriti_Default","7.01","6.97","6.87","6.88","6.87","6.86"
"Lognormal","Smriti_Robust","6.58","6.35","6.23","6.23","6.24","6.23"
"Lognormal","missForest","6.48","6.00","5.52","5.42","5.27","5.23"
"Lognormal","missRanger","7.04","6.72","6.34","6.21","6.03","6.00"
"Normal","FIML","2.97","2.07","1.32","0.91","0.41","0.29"
"Normal","MICE","5.55","4.94","4.48","4.28","4.02","3.91"
"Normal","Smriti_Default","6.46","6.32","6.21","6.23","6.24","6.18"
"Normal","Smriti_Robust","5.95","5.57","5.32","5.32","5.31","5.26"
"Normal","missForest","5.94","5.19","4.67","4.43","4.22","4.10"
"Normal","missRanger","6.53","5.99","5.59","5.37","5.15","5.03"
"Outlier","FIML","4.33","3.61","3.18","3.00","2.87","2.86"
"Outlier","MICE","5.72","5.08","4.64","4.39","4.19","4.14"
"Outlier","Smriti_Default","6.18","5.83","5.70","5.62","5.56","5.57"
"Outlier","Smriti_Robust","6.08","5.56","5.34","5.24","5.17","5.17"
"Outlier","missForest","6.20","5.52","5.13","4.92","4.80","4.77"
"Outlier","missRanger","6.67","6.11","5.74","5.54","5.35","5.33"
"t5","FIML","3.23","2.23","1.39","1.02","0.54","0.45"
"t5","MICE","5.51","4.88","4.44","4.19","3.94","3.88"
"t5","Smriti_Default","6.38","6.25","6.21","6.21","6.18","6.17"
"t5","Smriti_Robust","5.90","5.44","5.37","5.30","5.28","5.27"
"t5","missForest","5.85","5.14","4.67","4.43","4.22","4.19"
"t5","missRanger","6.44","5.90","5.55","5.33","5.08","4.97"
