"N","dist","method","s_var_bias"
100,"Lognormal","FIML",-14.6511887838054
200,"Lognormal","FIML",-16.1572695440005
500,"Lognormal","FIML",-17.1552358064068
1000,"Lognormal","FIML",-17.3545480045354
5000,"Lognormal","FIML",-17.5699755810697
10000,"Lognormal","FIML",-17.6781565288188
100,"Normal","FIML",-1.23669334941479
200,"Normal","FIML",-0.427649949782385
500,"Normal","FIML",-0.38315830425716
1000,"Normal","FIML",-0.0944924685945433
5000,"Normal","FIML",0.0504317894332192
10000,"Normal","FIML",-0.0372865937440924
100,"Outlier","FIML",-13.4942425831445
200,"Outlier","FIML",-15.5829358845944
500,"Outlier","FIML",-13.9079822633798
1000,"Outlier","FIML",-14.1864650107053
5000,"Outlier","FIML",-13.9980925709116
10000,"Outlier","FIML",-14.0714807356386
100,"t5","FIML",1.63131180976804
200,"t5","FIML",1.56220355924945
500,"t5","FIML",1.13549120734502
1000,"t5","FIML",1.17879750041056
5000,"t5","FIML",1.16335143447152
10000,"t5","FIML",1.07812134475381
100,"Lognormal","FIML_Predict",37.9294188094489
200,"Lognormal","FIML_Predict",31.5807727523413
500,"Lognormal","FIML_Predict",29.0716530288527
1000,"Lognormal","FIML_Predict",43.8191459780472
5000,"Lognormal","FIML_Predict",38.3128506141335
10000,"Lognormal","FIML_Predict",40.002731551789
100,"Normal","FIML_Predict",48.0687189550556
200,"Normal","FIML_Predict",55.2885942633019
500,"Normal","FIML_Predict",62.2897344418094
1000,"Normal","FIML_Predict",49.9435170602559
5000,"Normal","FIML_Predict",42.5200687631287
10000,"Normal","FIML_Predict",30.9055861708488
100,"Outlier","FIML_Predict",34.3330171207531
200,"Outlier","FIML_Predict",20.5608816403503
500,"Outlier","FIML_Predict",40.2373162306295
1000,"Outlier","FIML_Predict",17.4654388186054
5000,"Outlier","FIML_Predict",35.2253880692199
10000,"Outlier","FIML_Predict",33.5177771617765
100,"t5","FIML_Predict",49.6974431707706
200,"t5","FIML_Predict",75.8000976280565
500,"t5","FIML_Predict",56.8157700264751
1000,"t5","FIML_Predict",56.4654909565784
5000,"t5","FIML_Predict",48.2945353471862
10000,"t5","FIML_Predict",51.3485845625518
100,"Lognormal","MICE",-33.3155776608874
200,"Lognormal","MICE",-31.881428380293
500,"Lognormal","MICE",-30.9521787007013
1000,"Lognormal","MICE",-30.4977975987979
5000,"Lognormal","MICE",-29.1947130588647
10000,"Lognormal","MICE",-29.5593199806509
100,"Normal","MICE",-28.8641984645157
200,"Normal","MICE",-26.2598999427245
500,"Normal","MICE",-24.9384346039384
1000,"Normal","MICE",-24.0886116859925
5000,"Normal","MICE",-23.3481267271981
10000,"Normal","MICE",-23.2453588166756
100,"Outlier","MICE",-27.4794929969428
200,"Outlier","MICE",-29.0116796006558
500,"Outlier","MICE",-23.5470886711549
1000,"Outlier","MICE",-23.4209017656878
5000,"Outlier","MICE",-22.3448571391277
10000,"Outlier","MICE",-22.3714233973183
100,"t5","MICE",-27.8243972073722
200,"t5","MICE",-25.6755918425215
500,"t5","MICE",-24.5596433898886
1000,"t5","MICE",-23.8741198485967
5000,"t5","MICE",-22.5972159740529
10000,"t5","MICE",-22.7803282968622
100,"Lognormal","missForest",-41.4125578443037
200,"Lognormal","missForest",-39.0082501753918
500,"Lognormal","missForest",-36.9875386302976
1000,"Lognormal","missForest",-35.9303638625979
