"dist","method","5%","10%","15%","30%"
"Lognormal","FIML","1.95","2.87","3.67","5.47"
"Lognormal","MICE","2.39","4.04","5.65","10.01"
"Lognormal","Smriti_Default","3.95","6.04","7.45","10.21"
"Lognormal","Smriti_Robust","3.20","5.06","6.64","10.35"
"Lognormal","missForest","2.12","3.82","5.67","11.00"
"Lognormal","missRanger","2.84","4.81","6.59","11.31"
"Normal","FIML","1.18","1.24","1.32","1.58"
"Normal","MICE","1.98","3.10","4.37","8.64"
"Normal","Smriti_Default","3.58","5.43","6.72","9.33"
"Normal","Smriti_Robust","2.96","4.47","5.75","8.60"
"Normal","missForest","1.92","2.89","4.29","9.90"
"Normal","missRanger","2.36","3.93","5.55","10.57"
"Outlier","FIML","2.64","2.86","3.24","4.49"
"Outlier","MICE","2.79","3.40","4.37","8.20"
"Outlier","Smriti_Default","3.41","4.90","6.06","8.61"
"Outlier","Smriti_Robust","3.23","4.45","5.58","8.44"
"Outlier","missForest","2.98","3.54","4.62","9.76"
"Outlier","missRanger","2.93","4.14","5.64","10.46"
"t5","FIML","1.32","1.38","1.45","1.75"
"t5","MICE","1.85","2.99","4.31","8.75"
"t5","Smriti_Default","3.47","5.37","6.69","9.39"
"t5","Smriti_Robust","2.84","4.40","5.66","8.81"
"t5","missForest","1.95","2.83","4.27","9.96"
"t5","missRanger","2.27","3.84","5.49","10.57"
